Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees
2024,"United Rep. of Tanzania",Afghanistan,TZA,AFG,0
2024,Thailand,Afghanistan,THA,AFG,95
2024,Tajikistan,Afghanistan,TJK,AFG,9902
2024,Turkmenistan,Afghanistan,TKM,AFG,3409
2024,Togo,Afghanistan,TGO,AFG,0
2024,Tunisia,Afghanistan,TUN,AFG,5
2024,Türkiye,Afghanistan,TUR,AFG,14145
2024,"United Arab Emirates",Afghanistan,ARE,AFG,5
2024,Uganda,Afghanistan,UGA,AFG,234
2024,Ukraine,Afghanistan,UKR,AFG,912
2024,Uruguay,Afghanistan,URY,AFG,6
2024,"United States of America",Afghanistan,USA,AFG,46137
2024,Uzbekistan,Afghanistan,UZB,AFG,8505
2024,"Venezuela (Bolivarian Republic of)",Afghanistan,VEN,AFG,10
2024,Zambia,Afghanistan,ZMB,AFG,17
2022,Afghanistan,Afghanistan,AFG,AFG,0
2022,Albania,Afghanistan,ALB,AFG,14
2022,Egypt,Afghanistan,EGY,AFG,47
2022,Argentina,Afghanistan,ARG,AFG,11
2022,Armenia,Afghanistan,ARM,AFG,9
2022,Australia,Afghanistan,AUS,AFG,7787
2022,Austria,Afghanistan,AUT,AFG,45282
2022,Azerbaijan,Afghanistan,AZE,AFG,1161
2022,Belgium,Afghanistan,BEL,AFG,6238
2022,Bangladesh,Afghanistan,BGD,AFG,5
2022,Belarus,Afghanistan,BLR,AFG,118
2022,Brazil,Afghanistan,BRA,AFG,267
2022,"Bosnia and Herzegovina",Afghanistan,BIH,AFG,5
2022,Bulgaria,Afghanistan,BGR,AFG,319
2022,Canada,Afghanistan,CAN,AFG,987
2022,China,Afghanistan,CHN,AFG,31
2022,Chile,Afghanistan,CHL,AFG,19
2022,Colombia,Afghanistan,COL,AFG,9
2022,Cuba,Afghanistan,CUB,AFG,12
2022,Cyprus,Afghanistan,CYP,AFG,43
2022,Czechia,Afghanistan,CZE,AFG,187
2022,Denmark,Afghanistan,DNK,AFG,1625
2022,"Dominican Rep.",Afghanistan,DOM,AFG,0
2022,Ecuador,Afghanistan,ECU,AFG,147
2022,Estonia,Afghanistan,EST,AFG,33
2022,Fiji,Afghanistan,FJI,AFG,5
2022,Finland,Afghanistan,FIN,AFG,3855
2022,France,Afghanistan,FRA,AFG,63506
2022,"United Kingdom of Great Britain and Northern Ireland",Afghanistan,GBR,AFG,11265
2022,Georgia,Afghanistan,GEO,AFG,78
2022,Germany,Afghanistan,DEU,AFG,180810
2022,Ghana,Afghanistan,GHA,AFG,10
2022,Greece,Afghanistan,GRC,AFG,35467
2022,Guyana,Afghanistan,GUY,AFG,0
2022,"China, Hong Kong SAR",Afghanistan,HKG,AFG,11
2022,Croatia,Afghanistan,HRV,AFG,99
2022,Hungary,Afghanistan,HUN,AFG,1452
2022,Iceland,Afghanistan,ISL,AFG,227
2022,India,Afghanistan,IND,AFG,9858
2022,Indonesia,Afghanistan,IDN,AFG,5872
2022,Ireland,Afghanistan,IRL,AFG,1324
2022,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,3413249
2022,Iraq,Afghanistan,IRQ,AFG,14
2022,Italy,Afghanistan,ITA,AFG,18367
2022,Jordan,Afghanistan,JOR,AFG,8
2022,Japan,Afghanistan,JPN,AFG,570
2022,Kazakhstan,Afghanistan,KAZ,AFG,285
2022,Kenya,Afghanistan,KEN,AFG,18
2022,Kyrgyzstan,Afghanistan,KGZ,AFG,189
2022,"Rep. of Korea",Afghanistan,KOR,AFG,50
2022,Kuwait,Afghanistan,KWT,AFG,0
2022,Libya,Afghanistan,LBY,AFG,0
2022,Lebanon,Afghanistan,LBN,AFG,33
2022,"Sri Lanka",Afghanistan,LKA,AFG,87
2022,Lithuania,Afghanistan,LTU,AFG,265
2022,Luxembourg,Afghanistan,LUX,AFG,531
2022,Latvia,Afghanistan,LVA,AFG,207
2022,Madagascar,Afghanistan,MDG,AFG,16
2022,"Rep. of Moldova",Afghanistan,MDA,AFG,27
2022,Mexico,Afghanistan,MEX,AFG,6
2022,Malaysia,Afghanistan,MYS,AFG,1860
2022,Montenegro,Afghanistan,MNE,AFG,0
2022,Mongolia,Afghanistan,MNG,AFG,5
2022,Morocco,Afghanistan,MAR,AFG,12
2022,Malta,Afghanistan,MLT,AFG,0
2022,Nepal,Afghanistan,NPL,AFG,52
2022,"Netherlands (Kingdom of the)",Afghanistan,NLD,AFG,8415
2022,Nigeria,Afghanistan,NGA,AFG,5
2022,Norway,Afghanistan,NOR,AFG,3041
2022,Nauru,Afghanistan,NRU,AFG,5
2022,"New Zealand",Afghanistan,NZL,AFG,62
2022,Pakistan,Afghanistan,PAK,AFG,1743278
2022,Panama,Afghanistan,PAN,AFG,5
2022,Paraguay,Afghanistan,PRY,AFG,0
2022,Peru,Afghanistan,PER,AFG,0
2022,Philippines,Afghanistan,PHL,AFG,10
2022,"Papua New Guinea",Afghanistan,PNG,AFG,18
2022,Poland,Afghanistan,POL,AFG,919
2022,Portugal,Afghanistan,PRT,AFG,679
2022,Romania,Afghanistan,ROU,AFG,420
2022,"South Africa",Afghanistan,ZAF,AFG,5
2022,"Russian Federation",Afghanistan,RUS,AFG,1324
2022,Spain,Afghanistan,ESP,AFG,2740
2022,"Serbia and Kosovo: S/RES/1244 (1999)",Afghanistan,SRB,AFG,33
2022,Sudan,Afghanistan,SDN,AFG,0
2022,Slovakia,Afghanistan,SVK,AFG,382
2022,Slovenia,Afghanistan,SVN,AFG,67
2022,Sweden,Afghanistan,SWE,AFG,26197
2022,Switzerland,Afghanistan,CHE,AFG,16520
2022,"Syrian Arab Rep.",Afghanistan,SYR,AFG,1172
2022,Thailand,Afghanistan,THA,AFG,128
2022,Tajikistan,Afghanistan,TJK,AFG,8601
2022,Turkmenistan,Afghanistan,TKM,AFG,9
2022,Tunisia,Afghanistan,TUN,AFG,0
2022,Türkiye,Afghanistan,TUR,AFG,10581
2022,"United Arab Emirates",Afghanistan,ARE,AFG,10
2022,Uganda,Afghanistan,UGA,AFG,33
2022,Ukraine,Afghanistan,UKR,AFG,1039
2022,Uruguay,Afghanistan,URY,AFG,6
2022,"United States of America",Afghanistan,USA,AFG,8931
2022,Uzbekistan,Afghanistan,UZB,AFG,13026
2022,"Venezuela (Bolivarian Republic of)",Afghanistan,VEN,AFG,10
2022,Zambia,Afghanistan,ZMB,AFG,0
2023,Afghanistan,Afghanistan,AFG,AFG,0
2023,Albania,Afghanistan,ALB,AFG,5
2023,Egypt,Afghanistan,EGY,AFG,34
2023,Argentina,Afghanistan,ARG,AFG,19
2023,Armenia,Afghanistan,ARM,AFG,9
2023,Australia,Afghanistan,AUS,AFG,4280
2023,Austria,Afghanistan,AUT,AFG,41456
2023,Azerbaijan,Afghanistan,AZE,AFG,1121
2023,Belgium,Afghanistan,BEL,AFG,8914
2023,Benin,Afghanistan,BEN,AFG,0
2023,Belarus,Afghanistan,BLR,AFG,140
2023,Brazil,Afghanistan,BRA,AFG,6236
2023,"Bosnia and Herzegovina",Afghanistan,BIH,AFG,9
2023,Bulgaria,Afghanistan,BGR,AFG,292
2023,Canada,Afghanistan,CAN,AFG,1897
2023,China,Afghanistan,CHN,AFG,23
2023,Chile,Afghanistan,CHL,AFG,156
2023,Colombia,Afghanistan,COL,AFG,7
2023,Cuba,Afghanistan,CUB,AFG,9
2023,Cyprus,Afghanistan,CYP,AFG,163
2023,Czechia,Afghanistan,CZE,AFG,253
2023,Denmark,Afghanistan,DNK,AFG,1972
2023,"Dominican Rep.",Afghanistan,DOM,AFG,7
2023,Ecuador,Afghanistan,ECU,AFG,150
2023,Estonia,Afghanistan,EST,AFG,47
2023,Ethiopia,Afghanistan,ETH,AFG,0
2023,Fiji,Afghanistan,FJI,AFG,5
2023,Finland,Afghanistan,FIN,AFG,4116
2023,France,Afghanistan,FRA,AFG,79184
2023,Gambia,Afghanistan,GMB,AFG,0
2023,"United Kingdom of Great Britain and Northern Ireland",Afghanistan,GBR,AFG,45376
2023,Georgia,Afghanistan,GEO,AFG,78
2023,Germany,Afghanistan,DEU,AFG,255077
2023,Ghana,Afghanistan,GHA,AFG,22
2023,Greece,Afghanistan,GRC,AFG,42301
2023,Guyana,Afghanistan,GUY,AFG,7
2023,"China, Hong Kong SAR",Afghanistan,HKG,AFG,12
2023,Croatia,Afghanistan,HRV,AFG,99
2023,Hungary,Afghanistan,HUN,AFG,1443
2023,Iceland,Afghanistan,ISL,AFG,255
2023,India,Afghanistan,IND,AFG,10109
2023,Indonesia,Afghanistan,IDN,AFG,5090
2023,Ireland,Afghanistan,IRL,AFG,1939
2023,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,3752317
2023,Iraq,Afghanistan,IRQ,AFG,21
2023,Italy,Afghanistan,ITA,AFG,16825
2023,Jordan,Afghanistan,JOR,AFG,9
2023,Japan,Afghanistan,JPN,AFG,731
2023,Kazakhstan,Afghanistan,KAZ,AFG,182
2023,Kenya,Afghanistan,KEN,AFG,46
2023,Kyrgyzstan,Afghanistan,KGZ,AFG,176
2023,"Rep. of Korea",Afghanistan,KOR,AFG,65
2023,Kuwait,Afghanistan,KWT,AFG,0
2023,Libya,Afghanistan,LBY,AFG,0
2023,Lebanon,Afghanistan,LBN,AFG,32
2023,"Sri Lanka",Afghanistan,LKA,AFG,53
2023,Lithuania,Afghanistan,LTU,AFG,275
2023,Luxembourg,Afghanistan,LUX,AFG,616
2023,Latvia,Afghanistan,LVA,AFG,253
2023,Madagascar,Afghanistan,MDG,AFG,5
2023,"North Macedonia",Afghanistan,MKD,AFG,0
2023,"Rep. of Moldova",Afghanistan,MDA,AFG,16
2023,Mexico,Afghanistan,MEX,AFG,11
2023,Malaysia,Afghanistan,MYS,AFG,1512
2023,Mongolia,Afghanistan,MNG,AFG,5
2023,Morocco,Afghanistan,MAR,AFG,7
2023,Malta,Afghanistan,MLT,AFG,5
2023,Nepal,Afghanistan,NPL,AFG,34
2023,"Netherlands (Kingdom of the)",Afghanistan,NLD,AFG,8973
2023,Nigeria,Afghanistan,NGA,AFG,5
2023,Norway,Afghanistan,NOR,AFG,2864
2023,"New Zealand",Afghanistan,NZL,AFG,69
2023,Oman,Afghanistan,OMN,AFG,5
2023,Pakistan,Afghanistan,PAK,AFG,1987717
2023,Panama,Afghanistan,PAN,AFG,7
2023,Paraguay,Afghanistan,PRY,AFG,15
2023,Peru,Afghanistan,PER,AFG,0
2023,Philippines,Afghanistan,PHL,AFG,14
2023,"Papua New Guinea",Afghanistan,PNG,AFG,9
2023,Poland,Afghanistan,POL,AFG,1078
2023,Portugal,Afghanistan,PRT,AFG,919
2023,Romania,Afghanistan,ROU,AFG,401
2023,"South Africa",Afghanistan,ZAF,AFG,5
2023,"Russian Federation",Afghanistan,RUS,AFG,1233
2023,Rwanda,Afghanistan,RWA,AFG,14
2023,Senegal,Afghanistan,SEN,AFG,0
2023,Spain,Afghanistan,ESP,AFG,3731
2023,"Serbia and Kosovo: S/RES/1244 (1999)",Afghanistan,SRB,AFG,38
2023,Sudan,Afghanistan,SDN,AFG,0
2023,Suriname,Afghanistan,SUR,AFG,0
2023,Slovakia,Afghanistan,SVK,AFG,406
2023,Slovenia,Afghanistan,SVN,AFG,71
2023,Sweden,Afghanistan,SWE,AFG,22279
2023,Switzerland,Afghanistan,CHE,AFG,20319
2023,"Syrian Arab Rep.",Afghanistan,SYR,AFG,1191
2023,Thailand,Afghanistan,THA,AFG,119
2023,Tajikistan,Afghanistan,TJK,AFG,7087
2023,Turkmenistan,Afghanistan,TKM,AFG,3609
2023,Tunisia,Afghanistan,TUN,AFG,5
2023,Türkiye,Afghanistan,TUR,AFG,12549
2023,"United Arab Emirates",Afghanistan,ARE,AFG,6
2023,Uganda,Afghanistan,UGA,AFG,112
2023,Ukraine,Afghanistan,UKR,AFG,1017
2023,Uruguay,Afghanistan,URY,AFG,6
2023,"United States of America",Afghanistan,USA,AFG,32348
2023,Uzbekistan,Afghanistan,UZB,AFG,9405
2023,"Venezuela (Bolivarian Republic of)",Afghanistan,VEN,AFG,10
2023,Zambia,Afghanistan,ZMB,AFG,0
2021,Afghanistan,Afghanistan,AFG,AFG,0
2021,Albania,Afghanistan,ALB,AFG,5
2021,Egypt,Afghanistan,EGY,AFG,43
2021,Argentina,Afghanistan,ARG,AFG,12
2021,Armenia,Afghanistan,ARM,AFG,5
2021,Australia,Afghanistan,AUS,AFG,9648
2021,Austria,Afghanistan,AUT,AFG,42685
2021,Azerbaijan,Afghanistan,AZE,AFG,1189
2021,Belgium,Afghanistan,BEL,AFG,5859
2021,Bangladesh,Afghanistan,BGD,AFG,0
2021,Belarus,Afghanistan,BLR,AFG,127
2021,Brazil,Afghanistan,BRA,AFG,149
2021,"Bosnia and Herzegovina",Afghanistan,BIH,AFG,0
2021,Bulgaria,Afghanistan,BGR,AFG,300
2021,Canada,Afghanistan,CAN,AFG,2263
2021,China,Afghanistan,CHN,AFG,30
2021,Chile,Afghanistan,CHL,AFG,13
2021,Colombia,Afghanistan,COL,AFG,9
2021,Cuba,Afghanistan,CUB,AFG,17
2021,Cyprus,Afghanistan,CYP,AFG,17
2021,Czechia,Afghanistan,CZE,AFG,150
2021,Denmark,Afghanistan,DNK,AFG,1696
2021,"Dominican Rep.",Afghanistan,DOM,AFG,0
2021,Ecuador,Afghanistan,ECU,AFG,147
2021,Estonia,Afghanistan,EST,AFG,20
2021,Fiji,Afghanistan,FJI,AFG,8
2021,Finland,Afghanistan,FIN,AFG,3652
2021,France,Afghanistan,FRA,AFG,49990
2021,"United Kingdom of Great Britain and Northern Ireland",Afghanistan,GBR,AFG,9642
2021,Georgia,Afghanistan,GEO,AFG,20
2021,Germany,Afghanistan,DEU,AFG,159409
2021,Greece,Afghanistan,GRC,AFG,28543
2021,"China, Hong Kong SAR",Afghanistan,HKG,AFG,11
2021,Croatia,Afghanistan,HRV,AFG,93
2021,Hungary,Afghanistan,HUN,AFG,1467
2021,Iceland,Afghanistan,ISL,AFG,179
2021,India,Afghanistan,IND,AFG,9678
2021,Indonesia,Afghanistan,IDN,AFG,5828
2021,Ireland,Afghanistan,IRL,AFG,549
2021,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,778054
2021,Iraq,Afghanistan,IRQ,AFG,11
2021,Italy,Afghanistan,ITA,AFG,15561
2021,Jordan,Afghanistan,JOR,AFG,8
2021,Japan,Afghanistan,JPN,AFG,84
2021,Kazakhstan,Afghanistan,KAZ,AFG,327
2021,Kenya,Afghanistan,KEN,AFG,12
2021,Kyrgyzstan,Afghanistan,KGZ,AFG,213
2021,"Rep. of Korea",Afghanistan,KOR,AFG,46
2021,Kuwait,Afghanistan,KWT,AFG,0
2021,Libya,Afghanistan,LBY,AFG,0
2021,Lebanon,Afghanistan,LBN,AFG,24
2021,Liechtenstein,Afghanistan,LIE,AFG,5
2021,"Sri Lanka",Afghanistan,LKA,AFG,113
2021,Lithuania,Afghanistan,LTU,AFG,230
2021,Luxembourg,Afghanistan,LUX,AFG,427
2021,Latvia,Afghanistan,LVA,AFG,81
2021,Madagascar,Afghanistan,MDG,AFG,20
2021,"North Macedonia",Afghanistan,MKD,AFG,8
2021,"Rep. of Moldova",Afghanistan,MDA,AFG,12
2021,Mexico,Afghanistan,MEX,AFG,5
2021,Malaysia,Afghanistan,MYS,AFG,1604
2021,Montenegro,Afghanistan,MNE,AFG,0
2021,Mongolia,Afghanistan,MNG,AFG,0
2021,Morocco,Afghanistan,MAR,AFG,12
2021,Malta,Afghanistan,MLT,AFG,0
2021,Nepal,Afghanistan,NPL,AFG,52
2021,"Netherlands (Kingdom of the)",Afghanistan,NLD,AFG,6660
2021,Nigeria,Afghanistan,NGA,AFG,5
2021,Norway,Afghanistan,NOR,AFG,3448
2021,Nauru,Afghanistan,NRU,AFG,28
2021,"New Zealand",Afghanistan,NZL,AFG,65
2021,Pakistan,Afghanistan,PAK,AFG,1490562
2021,Panama,Afghanistan,PAN,AFG,5
2021,Peru,Afghanistan,PER,AFG,0
2021,Philippines,Afghanistan,PHL,AFG,9
2021,"Papua New Guinea",Afghanistan,PNG,AFG,30
2021,Poland,Afghanistan,POL,AFG,846
2021,Portugal,Afghanistan,PRT,AFG,121
2021,Qatar,Afghanistan,QAT,AFG,0
2021,Romania,Afghanistan,ROU,AFG,332
2021,"South Africa",Afghanistan,ZAF,AFG,5
2021,"Russian Federation",Afghanistan,RUS,AFG,921
2021,"Saudi Arabia",Afghanistan,SAU,AFG,0
2021,Spain,Afghanistan,ESP,AFG,1188
2021,"Serbia and Kosovo: S/RES/1244 (1999)",Afghanistan,SRB,AFG,27
2021,Sudan,Afghanistan,SDN,AFG,0
2021,Slovakia,Afghanistan,SVK,AFG,319
2021,Slovenia,Afghanistan,SVN,AFG,60
2021,Sweden,Afghanistan,SWE,AFG,27562
2021,Switzerland,Afghanistan,CHE,AFG,15060
2021,"Syrian Arab Rep.",Afghanistan,SYR,AFG,1119
2021,Thailand,Afghanistan,THA,AFG,168
2021,Tajikistan,Afghanistan,TJK,AFG,10719
2021,Turkmenistan,Afghanistan,TKM,AFG,10
2021,Türkiye,Afghanistan,TUR,AFG,7647
2021,"United Arab Emirates",Afghanistan,ARE,AFG,5
2021,Ukraine,Afghanistan,UKR,AFG,890
2021,Uruguay,Afghanistan,URY,AFG,5
2021,"United States of America",Afghanistan,USA,AFG,1649
2021,Uzbekistan,Afghanistan,UZB,AFG,13032
2021,"Venezuela (Bolivarian Republic of)",Afghanistan,VEN,AFG,10
2020,Afghanistan,Afghanistan,AFG,AFG,0
2020,Albania,Afghanistan,ALB,AFG,0
2020,Egypt,Afghanistan,EGY,AFG,34
2020,Argentina,Afghanistan,ARG,AFG,12
2020,Armenia,Afghanistan,ARM,AFG,5
2020,Australia,Afghanistan,AUS,AFG,10659
2020,Austria,Afghanistan,AUT,AFG,40096
2020,Azerbaijan,Afghanistan,AZE,AFG,1087
2020,Belgium,Afghanistan,BEL,AFG,4689
2020,Belarus,Afghanistan,BLR,AFG,222
2020,Brazil,Afghanistan,BRA,AFG,143
2020,"Bosnia and Herzegovina",Afghanistan,BIH,AFG,0
2020,Bulgaria,Afghanistan,BGR,AFG,244
2020,Canada,Afghanistan,CAN,AFG,2261
2020,China,Afghanistan,CHN,AFG,20
2020,Chile,Afghanistan,CHL,AFG,13
2020,Colombia,Afghanistan,COL,AFG,9
2020,Cuba,Afghanistan,CUB,AFG,28
2020,Cyprus,Afghanistan,CYP,AFG,16
2020,Czechia,Afghanistan,CZE,AFG,39
2020,Denmark,Afghanistan,DNK,AFG,2134
2020,"Dominican Rep.",Afghanistan,DOM,AFG,0
2020,Ecuador,Afghanistan,ECU,AFG,146
2020,Fiji,Afghanistan,FJI,AFG,8
2020,Finland,Afghanistan,FIN,AFG,3331
2020,France,Afghanistan,FRA,AFG,31546
2020,"United Kingdom of Great Britain and Northern Ireland",Afghanistan,GBR,AFG,9351
2020,Georgia,Afghanistan,GEO,AFG,11
2020,Germany,Afghanistan,DEU,AFG,147994
2020,Greece,Afghanistan,GRC,AFG,21456
2020,"China, Hong Kong SAR",Afghanistan,HKG,AFG,10
2020,Croatia,Afghanistan,HRV,AFG,54
2020,Hungary,Afghanistan,HUN,AFG,1503
2020,Iceland,Afghanistan,ISL,AFG,121
2020,India,Afghanistan,IND,AFG,8275
2020,Indonesia,Afghanistan,IDN,AFG,5863
2020,Ireland,Afghanistan,IRL,AFG,420
2020,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,780000
2020,Iraq,Afghanistan,IRQ,AFG,11
2020,Italy,Afghanistan,ITA,AFG,12096
2020,Jordan,Afghanistan,JOR,AFG,8
2020,Japan,Afghanistan,JPN,AFG,73
2020,Kazakhstan,Afghanistan,KAZ,AFG,408
2020,Kenya,Afghanistan,KEN,AFG,11
2020,Kyrgyzstan,Afghanistan,KGZ,AFG,219
2020,"Rep. of Korea",Afghanistan,KOR,AFG,42
2020,Kuwait,Afghanistan,KWT,AFG,0
2020,Libya,Afghanistan,LBY,AFG,0
2020,Lebanon,Afghanistan,LBN,AFG,13
2020,Liechtenstein,Afghanistan,LIE,AFG,5
2020,"Sri Lanka",Afghanistan,LKA,AFG,142
2020,Lithuania,Afghanistan,LTU,AFG,230
2020,Luxembourg,Afghanistan,LUX,AFG,317
2020,Latvia,Afghanistan,LVA,AFG,63
2020,Madagascar,Afghanistan,MDG,AFG,10
2020,"North Macedonia",Afghanistan,MKD,AFG,6
2020,"Rep. of Moldova",Afghanistan,MDA,AFG,24
2020,Mexico,Afghanistan,MEX,AFG,5
2020,Malaysia,Afghanistan,MYS,AFG,1517
2020,Montenegro,Afghanistan,MNE,AFG,0
2020,Mongolia,Afghanistan,MNG,AFG,0
2020,Morocco,Afghanistan,MAR,AFG,5
2020,Nepal,Afghanistan,NPL,AFG,52
2020,"Netherlands (Kingdom of the)",Afghanistan,NLD,AFG,5319
2020,Nigeria,Afghanistan,NGA,AFG,5
2020,Norway,Afghanistan,NOR,AFG,4007
2020,Nauru,Afghanistan,NRU,AFG,29
2020,"New Zealand",Afghanistan,NZL,AFG,57
2020,Pakistan,Afghanistan,PAK,AFG,1438432
2020,Panama,Afghanistan,PAN,AFG,5
2020,Peru,Afghanistan,PER,AFG,0
2020,Philippines,Afghanistan,PHL,AFG,9
2020,"Papua New Guinea",Afghanistan,PNG,AFG,35
2020,Poland,Afghanistan,POL,AFG,92
2020,Portugal,Afghanistan,PRT,AFG,21
2020,Romania,Afghanistan,ROU,AFG,170
2020,"South Africa",Afghanistan,ZAF,AFG,5
2020,"Russian Federation",Afghanistan,RUS,AFG,770
2020,"Saudi Arabia",Afghanistan,SAU,AFG,0
2020,Spain,Afghanistan,ESP,AFG,468
2020,"Serbia and Kosovo: S/RES/1244 (1999)",Afghanistan,SRB,AFG,27
2020,Sudan,Afghanistan,SDN,AFG,0
2020,Slovakia,Afghanistan,SVK,AFG,298
2020,Slovenia,Afghanistan,SVN,AFG,56
2020,Sweden,Afghanistan,SWE,AFG,29927
2020,Switzerland,Afghanistan,CHE,AFG,14523
2020,"Syrian Arab Rep.",Afghanistan,SYR,AFG,1107
2020,Thailand,Afghanistan,THA,AFG,160
2020,Tajikistan,Afghanistan,TJK,AFG,5573
2020,Turkmenistan,Afghanistan,TKM,AFG,14
2020,Türkiye,Afghanistan,TUR,AFG,4219
2020,"United Arab Emirates",Afghanistan,ARE,AFG,5
2020,Ukraine,Afghanistan,UKR,AFG,822
2020,Uruguay,Afghanistan,URY,AFG,0
2020,"United States of America",Afghanistan,USA,AFG,1592
2020,Uzbekistan,Afghanistan,UZB,AFG,13
